AC_TYPEID,SSD_NAME,MANUFACTURER,LONG_NAME,SHORT_NAME,BEGIN_DATE,END_DATE
7,AERO COMMANDER 200,ROCKWELL,AERO COMMANDER 200,COMMANDR,01-01-90,9999
8,AERO MACCHI AL-60,AERO MACCHI,AERO MACCHI AL-60,AL-60,01-01-90,9999
9,AERONCA 7-AC,AERONCA,AERONCA 7-AC,AERONCA7,01-01-90,9999
10,BEECH 35/36,BEECHCRAFT,BEECH BONANZA 35A/C/D/E/G/H/J/K/S/V/  36A,BONANZA,01-01-90,9999
20,BELLANCA CH-300,BELLANCA,BELLANCA CH-300,CH-300,01-01-90,9999
24,BEECH B-23,BEECHCRAFT,BEECH B-23 MUSKETEER,MUSKTEER,01-01-90,9999
26,GIPPS AERO GA8 AIR,GIPPS AERO,GIPPS AERO GA8 AIRVAN,AIRVAN,01-01-14,9999
29,CESSNA 150/152,CESSNA,CESSNA 150/152,CE-150/2,01-01-90,9999
30,CESSNA 180,CESSNA,CESSNA 180,CE-180,01-01-90,9999
31,CESSNA 180A/B,CESSNA,CESSNA 180A/B,CE-180,01-01-90,9999
32,CESSNA 180C/D/E/F,CESSNA,CESSNA 180C/D/E/F,CE-180C,01-01-90,9999
33,CESSNA 185A/B/C,CESSNA,CESSNA 185A/B/C SKYWAGON,SKYWAGON,01-01-90,9999
34,HELIO H250/295/395,HELIO,HELIO H-250/295/395,COURIER,01-01-90,9999
35,CESSNA 206/207/209,CESSNA,CESSNA C206/207/209/210 STATIONAIR,CE-206/7,01-01-90,9999
36,CESSNA 172 SKYHAWK,CESSNA,CESSNA 172 SKYHAWK,SKYHAWK,01-01-90,9999
37,CESSNA 195,CESSNA,CESSNA 195,CE-195,01-01-90,9999
38,CESSNA CARDINAL,CESSNA,CESSNA 177 CARDINAL,CARDINAL,01-01-90,9999
39,CESSNA 182 SKYLANE,CESSNA,CESSNA 182 SKYLANE,SKYLANE,01-01-90,9999
40,DEHAVILLAND DHC2,DEHAVILLAND OF CANADA,DEHAVILLAND DHC2 BEAVER,BEAVER,01-01-90,9999
41,CESSNA 205,CESSNA,CESSNA 205,CE-205,01-01-90,9999
42,DEHAVILLAND DHC3,DEHAVILLAND OF CANADA,DEHAVILLAND DHC3 OTTER,OTTER,01-01-90,9999
44,LAKE LA-4,LAKE,LAKE LA-4,LA-4,01-01-90,9999
50,HOWARD DGA-15P,HOWARD,HOWARD DGA-15P,DGA-15P,01-01-90,9999
51,MOONEY M-21,MOONEY,MOONEY M-21,M-21,01-01-90,9999
52,MOONEY M-20C/E/G,MOONEY,MOONEY M-20C/E/G,M-20C/E,01-01-90,9999
65,NOORDUYN UC-64AS,NOORDUYN,NOORDUYN UC-64AS,UC-64AS,01-01-90,9999
70,PILATUS PORTER PC6,PILATUS,PILATUS PORTER PC6,PC6,01-01-90,9999
71,PILATUS PC6/350,PILATUS,PILATUS PORTER PC6/350,PC6/350,01-01-90,9999
79,PIPER PA-32,PIPER,PIPER PA-32 (CHEROKEE 6),PA-32,01-01-90,9999
80,PIPER PA-18,PIPER,PIPER PA-18 (SUPER-CUB),SUPERCUB,01-01-90,9999
81,PIPER PA-14,PIPER,PIPER PA-14 (FAMILY-CRUISER),FAMCRUIS,01-01-90,9999
82,PIPER PA-22,PIPER,PIPER PA-22 (TRI-PACER),TRIPACER,01-01-90,9999
83,PIPER PA-24,PIPER,PIPER PA-24 (COMANCHE),COMANCHE,01-01-90,9999
84,PIPER PA-28,PIPER,PIPER PA-28 (CHEROKEE),PA-28,01-01-90,9999
85,STINSON SR-9,STINSON,STINSON SR-9,SR-9,01-01-90,9999
86,PIPER PA-12,PIPER,PIPER PA-12 (SUPERCRUISER),PA-12,01-01-02,9999
87,STINSON V-77,STINSON,STINSON V-77,V-77,01-01-90,9999
88,STINSON SR-10E,STINSON,STINSON SR-10E BUSHMAN,BUSHMAN,01-01-90,9999
91,FLT/AMPHIB TURBINE,,FLOAT/AMPHIB TURBINE,FLT/AMPH,01-01-90,9999
92,PISTON-LT 450 HP,,FLOAT/AMPHIB PISTON-LT 450 HP,FLT/AMPH,01-01-90,9999
93,PISTON-450+ HP,,FLOAT/AMPHIB PISTON-450+ HP,FLT/AMPH,01-01-90,9999
94,LAND-TURBINE,,LAND-TURBINE,LAND,01-01-90,9999
95,PISTON-LT 450 HP,,LAND-PISTON-LT 450 HP,LAND,01-01-90,9999
96,PISTON-450+ HP,,LAND-PISTON-450+ HP,LAND,01-01-90,9999
97,STIN.FW 300-450 HP,STINSON,STINSON F.W. 300-450 HP,STNSN FW,01-01-50,9999
